Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
TRANSFER,5,4,11.09000015,175.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Zachary,6109,Tate,XXXXXXXXX,Consumer,PR,8916 Round Zephyr Ridge,725.0,7,Fan Shop,18.20397568,-66.37054443,USCA,Los Angeles,Estados Unidos,6109,4/1/2016 21:05,31299,1073,24.0,0.119999997,78239,199.9900055,0.059999999,1,199.9900055,175.9900055,11.09000015,West of USA ,California,PROCESSING,90036.0,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,4/6/2016 21:05,Standard Class
PAYMENT,2,1,9.800000191,245.0,Late delivery,1,24,Women's Apparel,Florissant,EE. UU.,XXXXXXXXX,Gary,12041,Oneal,XXXXXXXXX,Consumer,MO,372 Sunny Arbor,63033.0,5,Golf,38.80710983,-90.29780579,LATAM,Tegucigalpa,Honduras,12041,6/9/2017 18:43,61023,502,5.0,0.02,152658,50.0,0.039999999,5,250.0,245.0,9.800000191,Central America,Francisco Morazán,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,6/11/2017 18:43,First Class
TRANSFER,2,4,117.5500031,244.8999939,Advance shipping,0,46,Indoor/Outdoor Games,Carmichael,EE. UU.,XXXXXXXXX,Andrea,4271,Alexander,XXXXXXXXX,Corporate,CA,2407 Foggy Acres,95608.0,7,Fan Shop,38.60803223,-121.3219528,LATAM,Tijuana,México,4271,1/2/2015 14:32,111,1014,5.0,0.02,253,49.97999954,0.479999989,5,249.8999939,244.8999939,117.5500031,Central America,Baja California,PROCESSING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,1/4/2015 14:32,Standard Class
TRANSFER,5,4,118.4300003,251.9799957,Late delivery,1,43,Camping & Hiking,Troy,EE. UU.,XXXXXXXXX,Joyce,3521,Callahan,XXXXXXXXX,Consumer,NY,4075 Silver Hills Heights,12180.0,7,Fan Shop,42.73004913,-73.68952942,Africa,Pretoria,SudAfrica,3521,1/10/2017 1:46,50699,957,48.0,0.159999996,126700,299.980011,0.469999999,1,299.980011,251.9799957,118.4300003,Southern Africa,Gauteng,PENDING,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,1/15/2017 1:46,Standard Class
DEBIT,2,4,-21.59000015,107.9700012,Advance shipping,0,29,Shop By Sport,Caguas,Puerto Rico,XXXXXXXXX,Mildred,12073,Merritt,XXXXXXXXX,Consumer,PR,4661 Green Freeway,725.0,5,Golf,18.23455048,-66.37057495,LATAM,Santiago de los Caballeros,República Dominicana,12073,4/6/2017 7:15,56606,627,12.0,0.100000001,141586,39.99000168,-0.200000003,3,119.9700012,107.9700012,-21.59000015,Caribbean,Santiago de Chile,COMPLETE,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/8/2017 7:15,Standard Class
DEBIT,5,4,-16.38999939,163.9299927,Late delivery,1,46,Indoor/Outdoor Games,Pawtucket,EE. UU.,XXXXXXXXX,Patricia,771,Smith,XXXXXXXXX,Consumer,RI,9986 Old Common,2860.0,7,Fan Shop,41.77356339,-71.36444092,USCA,Huntsville,Estados Unidos,771,8/7/2016 23:21,40074,1014,35.99000168,0.180000007,100008,49.97999954,-0.100000001,4,199.9199982,163.9299927,-16.38999939,US Center ,Texas,COMPLETE,77340.0,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,8/12/2016 23:21,Standard Class
DEBIT,6,4,83.19999695,319.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Mary,8550,Smith,XXXXXXXXX,Corporate,PR,4906 Wishing Bluff Pike,725.0,7,Fan Shop,18.20294952,-66.37063599,Europe,Las Rozas de Madrid,España,8550,8/31/2015 10:52,16610,1004,80.0,0.200000003,41513,399.980011,0.25999999,1,399.980011,319.980011,83.19999695,Southern Europe,Madrid,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,9/6/2015 10:52,Standard Class
DEBIT,2,4,99.08999634,272.9700012,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Nancy,4857,Whitaker,XXXXXXXXX,Consumer,PR,1220 Tawny Glade,725.0,3,Footwear,18.23100853,-66.37059784,Africa,Dire Dawa,Etiopía,4857,12/3/2016 14:04,48131,191,27.0,0.090000004,120363,99.98999786,0.360000014,3,299.9700012,272.9700012,99.08999634,East Africa,Dire Dawa,COMPLETE,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,12/5/2016 14:04,Standard Class
PAYMENT,6,4,30.0,100.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Sara,5404,Castillo,XXXXXXXXX,Consumer,PR,4232 Pleasant Bear Park,725.0,5,Golf,18.28034973,-66.37052918,LATAM,Huehuetenango,Guatemala,5404,2/15/2017 20:59,53220,502,0.0,0.0,132983,50.0,0.300000012,2,100.0,100.0,30.0,Central America,Huehuetenango,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2/21/2017 20:59,Standard Class
PAYMENT,4,4,54.63000107,118.7699966,Shipping on time,0,29,Shop By Sport,Findlay,EE. UU.,XXXXXXXXX,Grace,5148,Smith,XXXXXXXXX,Corporate,OH,507 Indian Front,45840.0,5,Golf,41.04313278,-83.65692902,LATAM,Coacalco,México,5148,3/20/2017 20:03,55478,627,1.200000048,0.01,138765,39.99000168,0.460000008,3,119.9700012,118.7699966,54.63000107,Central America,México,PENDING_PAYMENT,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,3/24/2017 20:03,Standard Class
